company,ticker,title,body,date,replies
Google Inc.,GOOG,Is it worth working at Google?,"I'm a Computer Science student who just graduated college, and got an offer from Microsoft, and Google. I'm currently debating which one is better. They both pay around the same. Any opinions/thoughts as to which one would be the better choice?...
read more",2016-08-22,3
Google Inc.,GOOG,The dalles data center,"I'M a technician at Intel and wanting to leave the company after the major layoffs. Does anyone here work at the data centers? How do they like it? Intel used to be a great place to work, but after seven years at the company I'm attempting to explore...
read more",2016-05-04,0
Google Inc.,GOOG,Google Spinning Off Boston Dynamics,No $$$ in Terminators. I think they should hire Arnold to give the BU strategic direction.,2016-03-18,1
Google Inc.,GOOG,Sprint would be a great buy for Google.,Google is probably just biding their time to get it for nothing. There aren't a lot of other companies that could buy them. T-mobile doesn't have the cash and the FCC wouldn't allow AT&T or Verizon to snatch them up.,2016-01-25,1
Google Inc.,GOOG,Google Layoffs 2016,What is the likelihood of Google layoffs in Mountain View in 2016? Please let me know if you have any information.,2015-11-05,4
Google Inc.,GOOG,Is it really true that we may have job cuts in Mountain View?,-,2015-08-03,1
Google Inc.,GOOG,Have you guys ever had layoffs at Google?,"It looks like you always grow, no layoffs right?",2014-07-18,0
Google Inc.,GOOG,"Google acquired Motorola last year, and as a part of its efforts to turn the cellphone maker into a more profitable operation the company...","Google acquired Motorola last year, and as a part of its efforts to turn the cellphone maker into a more profitable operation the company announced that it plans let go of 4,000 Motorola employees.",2013-09-17,0
Gordmans Stores Inc.,GMAN,Layoffs at Corporate Office Aksarben Village (March 2017) - Bankruptcy Rumors - Stores Closing,"There are multiple news posts that indicate that Gordmans will be declaring bankruptcy very soon. No detail on how the BK is going to be structured but this is more or less inevitable. The stock finished at an all time low and is rapidly approaching...
read more",2017-03-07,3
Gordmans Stores Inc.,GMAN,Gordmans has no layoffs and all is good,And I am not sure why people spread rumors and lie,2016-10-13,0
Gottschalks Inc.,GOT,Harris-Gottschalks Layoffs 2014,I think we have 40 stores or more. Some will have to close. Good luck everyone,2014-07-23,0
GrafTech,GTI,HQ Move,https://www.youtube.com/watch?v=ZhLDl8a1kr4,2018-11-27,0
GrafTech,GTI,The whole industry is struggling,"No layoffs for now for Graftech, but we'l see what 2015 brings",2014-09-30,0
GrafTech,GTI,"all companies dealing with graphite electrodes are experiencing issues since last year, not sure what's causing it but there deep problems in...","all companies dealing with graphite electrodes are experiencing issues since last year, not sure what's causing it but there deep problems in this sector. i am not sure if we'll be laying people off but i am very concerned about the rest of 2013 and...
read more",2013-02-14,0
Graham Holdings Company (The Washington Post Company),GHC,University of Massachusetts joins online schools,"""Meehan revealed the news with a bold promise that the system will aim to compete with nationally successful online education brands like Southern New Hampshire University, Penn State World Campus, Purdue University Global and the University of...
read more",2019-03-06,0
Graham Holdings Company (The Washington Post Company),GHC,Workers Expose Subprime College Crash in Real Time at TheLayoff.com,"As the subprime college crash continues, some of the most interesting pages to watch are: Dream Center Education Holdings and the Art Institutes, University of Phoenix, DeVry University, Graham Holdings and Kaplan University, Laureate Education and...
read more",2019-02-25,0
Graham Holdings Company (The Washington Post Company),GHC,Former GHC schools shutting down,Panned off the dregs to ECA. https://www.thelayoff.com/t/WvJYeoG,2018-12-07,0
Graham Holdings Company (The Washington Post Company),GHC,Graham Layoffs 2019,Will there be any Graham Layoffs in 2019?,2018-10-30,0
Graham Holdings Company (The Washington Post Company),GHC,Purdue Global a new addition to the Purdue family?,Seems more like a miscarriage...of justice.,2018-10-28,0
Graham Holdings Company (The Washington Post Company),GHC,Poisoning the (higher education) well,"'“We are excited to welcome a true higher education thought leader. Brandon will drive Kaplan’s efforts to help American universities develop new approaches to generating revenue, diversifying their student populations, establishing a strong...
read more",2018-10-03,0
Graham Holdings Company (The Washington Post Company),GHC,Purdue Global ad is insanely fraudulent,What's with a Purdue Global sign on the space station? https://www.youtube.com/watch?v=ADvDhkcE9Rs,2018-09-29,0
Graham Holdings Company (The Washington Post Company),GHC,Why Purdue Global's Accreditor Looks the Other Way,No wonder the Higher Learning Commission looks the other way... https://www.linkedin.com/pulse/higher-learning-commission-accreditation-sign-quality-dahn-shaulis/,2018-09-14,0
Graham Holdings Company (The Washington Post Company),GHC,Purdue Global Demands Students Waive Right toSue,"""A liberal Washington think tank that used a public records request to pursue details about Purdue University Global has released details of a “policy guide” that reveal an unusual demand: the new public university forces students to arbitrate “all...
read more",2018-08-30,0
Graham Holdings Company (The Washington Post Company),GHC,Purdue Global Nondisclosure Agreement Runs Roughshod Over Faculty Rights,"Washington, DC— Last March Indiana’s Purdue University purchased the for-profit online institution Kaplan University despite the strenuous objections of Purdue faculty and other citizens who opposed merging a public land-grant university with the...
read more",2018-08-28,0
